time,TSI
1962-12-15,1360.8048
1963-01-15,1360.7123
1963-02-15,1360.795
1963-03-15,1360.7756
1963-04-15,1360.6726
1963-05-15,1360.7058
1963-06-15,1360.7623
1963-07-15,1360.7552
1963-08-15,1360.7207
1963-09-15,1360.5743
1963-10-15,1360.696
1963-11-15,1360.8423
1963-12-15,1360.7822
1964-01-15,1360.7113
1964-02-15,1360.7382
1964-03-15,1360.7146
1964-04-15,1360.7773
1964-05-15,1360.7101
1964-06-15,1360.7301
1964-07-15,1360.6963
1964-08-15,1360.7075
1964-09-15,1360.7083
1964-10-15,1360.7499
1964-11-15,1360.7346
1964-12-15,1360.7552
1965-01-15,1360.7174
1965-02-15,1360.7338
1965-03-15,1360.751
1965-04-15,1360.768
1965-05-15,1360.7628
1965-06-15,1360.8342
1965-07-15,1360.8232
1965-08-15,1360.8315
1965-09-15,1360.75
1965-10-15,1360.8021
1965-11-15,1360.7593
1965-12-15,1360.7518
1966-01-15,1360.8312
1966-02-15,1360.8698
1966-03-15,1360.7799
1966-04-15,1360.7611
1966-05-15,1361.1248
1966-06-15,1361.082
1966-07-15,1360.998
1966-08-15,1361.188
1966-09-15,1360.9375
1966-10-15,1361.1185
1966-11-15,1361.1758
1966-12-15,1361.1434
1967-01-15,1360.9382
1967-02-15,1361.2833
1967-03-15,1361.0394
1967-04-15,1361.6034
1967-05-15,1360.9913
1967-06-15,1361.2465
1967-07-15,1361.1078
1967-08-15,1361.1702
1967-09-15,1361.5046
1967-10-15,1361.3713
1967-11-15,1361.232
1967-12-15,1361.2166
1968-01-15,1361.3647
1968-02-15,1361.4805
1968-03-15,1361.4723
1968-04-15,1361.4794
1968-05-15,1361.146
1968-06-15,1361.1228
1968-07-15,1361.3191
1968-08-15,1361.1935
1968-09-15,1361.329
1968-10-15,1361.2723
1968-11-15,1361.4011
1968-12-15,1361.0793
1969-01-15,1361.2733
1969-02-15,1361.4685
1969-03-15,1361.3342
1969-04-15,1361.3754
1969-05-15,1361.6035
1969-06-15,1361.1582
1969-07-15,1361.535
1969-08-15,1361.3035
1969-09-15,1361.5988
1969-10-15,1361.2806
1969-11-15,1361.1715
1969-12-15,1361.4246
1970-01-15,1361.3564
1970-02-15,1361.0906
1970-03-15,1361.6412
1970-04-15,1361.3488
1970-05-15,1361.2384
1970-06-15,1361.541
1970-07-15,1361.3289
1970-08-15,1361.3031
1970-09-15,1361.3357
1970-10-15,1361.39
1970-11-15,1361.367
1970-12-15,1361.5448
1971-01-15,1361.0681
1971-02-15,1361.0793
1971-03-15,1361.3342
1971-04-15,1361.0906
1971-05-15,1361.0684
1971-06-15,1361.1431
1971-07-15,1360.9154
1971-08-15,1360.8877
1971-09-15,1361.0907
1971-10-15,1360.8435
1971-11-15,1360.9928
1971-12-15,1360.9749
1972-01-15,1361.2617
1972-02-15,1361.0212
1972-03-15,1361.0645
1972-04-15,1361.412
1972-05-15,1360.9113
